Data file:,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 2.sirslt\PD-007 - Q 2.dx,,,,,
Sample name:,PD-007 - Q 2,,,,,
Description:,,,,,,
Sample amount:,0,Sample type:,Sample,,,
Instrument:,1100LC,Location:,6,,,
Injection date:,2019-08-26 10:25:13+01:00,Injection:,1 of 1,,,
Acq. method:,PD - TEMPO Gradient.amx,Injection volume:,2,,,
Analysis method:,*GC_LC Area Percent_DefaultMethod.pmx,Acq. operator:,SYSTEM,,,
Last changed:,2021-02-04 14:51:26+00:00,,,,,
Signal:,"VWD1A,Wavelength=210 nm",,,,,
RT [min],Type,Width [min],Area,Height,Area%,Name
1.515,BB  ,3.1123,55654.1125,2748.0588,97.2287,
5.038,BB  ,0.8639,90,63.6495,1.9145,
7.102,BB  ,0.5314,490.4553,52.4376,0.8568,
,,Sum,57240.4318,,,
