Data file:,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 6.sirslt\PD-007 - Q 6.dx,,,,,
Sample name:,PD-007 - Q 6,,,,,
Description:,,,,,,
Sample amount:,0,Sample type:,Sample,,,
Instrument:,1100LC,Location:,18,,,
Injection date:,2019-08-26 12:30:13+01:00,Injection:,1 of 1,,,
Acq. method:,PD - TEMPO Gradient.amx,Injection volume:,2,,,
Analysis method:,*GC_LC Area Percent_DefaultMethod.pmx,Acq. operator:,SYSTEM,,,
Last changed:,2019-06-19 10:57:01+01:00,,,,,
Signal:,"VWD1A,Wavelength=210 nm",,,,,
RT [min],Type,Width [min],Area,Height,Area%,Name
1.514,BB  ,2.9981,55434.6165,2750.1035,97.0495,
4.998,BB  ,0.8299,10,29.1159,0.8703,
7.054,BB  ,0.8226,1188.1978,122.6763,2.0802,
,,Sum,57119.9405,,,
